"kreis","name","land","afd_prozent","lohn_prozent","linke_prozent"
"07140","Rhein-Hunsrück-Kreis","RP",0.0917098690534344,0.204,0.0286317580876444
"07141","Rhein-Lahn-Kreis","RP",0.0853732328510919,0.166,0.0311073216348534
"07143","Westerwaldkreis","RP",0.0880440798658439,0.167,0.0273516558862647
"07211","Trier, kreisfreie Stadt","RP",0.0569984701858123,0.203,0.0541279199683724
"07231","Bernkastel-Wittlich","RP",0.0753558007214114,0.208,0.028524426870312
"07232","Eifelkreis Bitburg-Prüm","RP",0.0632084498748712,0.179,0.0229832180185485
"07233","Vulkaneifel","RP",0.0742727124979685,0.167,0.0298228506419633
"07235","Trier-Saarburg","RP",0.0638807110591725,0.158,0.0287996943614176
"07311","Frankenthal (Pfalz), kreisfreie Stadt","RP",0.125682825067745,0.175,0.0288184438040346
"07312","Kaiserslautern, kreisfreie Stadt","RP",0.118978418155958,0.186,0.0473687465215509
"07313","Landau in der Pfalz, kreisfreie Stadt","RP",0.0675467782905799,0.239,0.0528424743300776
"07314","Ludwigshafen am Rhein, kreisfreie Stadt","RP",0.12467597502062,0.131,0.0362907976905856
"07315","Mainz, kreisfreie Stadt","RP",0.0432529283220443,0.142,0.0556778887614391
"07316","Neustadt an der Weinstraße, kreisfreie Stadt","RP",0.100050642527062,0.236,0.0273469646135342
"07317","Pirmasens, kreisfreie Stadt","RP",0.151643215830557,0.192,0.0319693730423109
"07318","Speyer, kreisfreie Stadt","RP",0.0988884772137829,0.143,0.0399036680251945
"07319","Worms, kreisfreie Stadt","RP",0.118031077793775,0.263,0.0341309636101872
"07320","Zweibrücken, kreisfreie Stadt","RP",0.130077787381158,0.277,0.0375972342264477
"07331","Alzey-Worms","RP",0.109729950482414,0.216,0.02805145745061
"07332","Bad Dürkheim","RP",0.100202513056763,0.179,0.025450325086749
"07333","Donnersbergkreis","RP",0.11988486768709,0.161,0.030969699674238
"07334","Germersheim","RP",0.125118288418021,0.133,0.0282383597339368
"07335","Kaiserslautern","RP",0.131333693819778,0.208,0.0331912592639715
"07336","Kusel","RP",0.127718329306179,0.22,0.0370958462777586
"07337","Südliche Weinstraße","RP",0.0950520648359922,0.178,0.0292926853522367
"07338","Rhein-Pfalz-Kreis","RP",0.104640957587421,0.176,0.0243943703672373
"07339","Mainz-Bingen","RP",0.0712277199052024,0.146,0.0324856927309167
"07340","Südwestpfalz","RP",0.117831732058624,0.235,0.0294382128827678
"08111","Stuttgart, Stadtkreis","BW",0.0554170016008135,0.103,0.0510680105255203
"08115","Böblingen","BW",0.0861150474360514,0.114,0.0260742164044674
"08116","Esslingen","BW",0.0805083721106977,0.138,0.0284517036131176
"08117","Göppingen","BW",0.11365278822471,0.148,0.0246154299957229
"08118","Ludwigsburg","BW",0.0875335489642833,0.143,0.029354483517996
"08119","Rems-Murr-Kreis","BW",0.097491754567776,0.135,0.0280581200844539
"08121","Heilbronn, Stadtkreis","BW",0.121554467792068,0.176,0.0353440413929163
"08125","Heilbronn","BW",0.127447055214405,0.128,0.0245940423142318
"08126","Hohenlohekreis","BW",0.133392709261082,0.115,0.0259222800356256
"08127","Schwäbisch Hall","BW",0.121908582364198,0.163,0.0305553510967172
"08128","Main-Tauber-Kreis","BW",0.112704402515723,0.152,0.026440251572327
"08135","Heidenheim","BW",0.119532899556168,0.163,0.0292584134097471
"08136","Ostalbkreis","BW",0.102910079548887,0.118,0.0274337372313407
"08211","Baden-Baden, Stadtkreis","BW",0.0804260137286816,0.178,0.0299695704479513
"08212","Karlsruhe, Stadtkreis","BW",0.0675100726231429,0.115,0.0558302159896235
"08215","Karlsruhe","BW",0.104166585321094,0.196,0.0266995693239988
"08216","Rastatt","BW",0.110648545278549,0.15,0.0270168176345135
